,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Emb_Dist,-0.01889925359206939,0.05506969151364682,-0.3431879328284591,0.7317183384422308,-0.12730924698922313,0.08951073980508434
"Emb_Dist:C(Group, Sum)[S.B.1.1_2020-12-29_to_2021-02-27]",0.5422620217281237,0.21664923792726568,2.5029491306596423,0.012894541721253544,0.11576712394259747,0.9687569195136498
"Emb_Dist:C(Group, Sum)[S.B.1.617.2_2021-04-28_to_2021-06-27]",0.036111965691394625,0.07021431987136294,0.514310553140072,0.6074464457487969,-0.10211168772699764,0.1743356191097869
"Emb_Dist:C(Group, Sum)[S.B.1.617.2_2021-06-27_to_2021-08-26]",0.057029234769995114,0.05832285954924066,0.977819592707841,0.3290198445498055,-0.057784933329520304,0.17184340286951053
"Emb_Dist:C(Group, Sum)[S.B.1.617.2_2021-08-26_to_2021-10-25]",-0.0014006025742617754,0.05737375518507728,-0.02441190348694602,0.9805416937770386,-0.11434636729209738,0.11154516214357382
"Emb_Dist:C(Group, Sum)[S.B.1.617.2_2021-10-25_to_2021-12-24]",0.03270167758810753,0.057342436541706523,0.5702875489834274,0.5689466352088388,-0.08018243336287903,0.1455857885390941
"Emb_Dist:C(Group, Sum)[S.B.1.617.2_2021-12-24_to_2022-02-22]",0.017271315841509358,0.06887827031775695,0.25075130025523856,0.8021929632443037,-0.11832219530981024,0.15286482699282894
"Emb_Dist:C(Group, Sum)[S.B.1_2020-05-03_to_2020-07-02]",-0.7958759509736592,0.24330408287464414,-3.271116298462253,0.0012073558073819096,-1.2748434790812813,-0.31690842286603704
"Emb_Dist:C(Group, Sum)[S.B.1_2020-07-02_to_2020-08-31]",0.0989422521246088,0.1168658506564447,0.846631001005361,0.3979343049295161,-0.13111943425470043,0.32900393850391807
"Emb_Dist:C(Group, Sum)[S.B.1_2020-08-31_to_2020-10-30]",0.09545695143337647,0.1298379673802922,0.7352005993268934,0.4628415883840016,-0.16014159650672288,0.3510554993734758
"Emb_Dist:C(Group, Sum)[S.B.1_2020-10-30_to_2020-12-29]",0.06730852480208836,0.0700054666973759,0.9614752672538268,0.3371548262109252,-0.07050398102149126,0.205121030625668
"Emb_Dist:C(Group, Sum)[S.B.1_2020-12-29_to_2021-02-27]",0.16034943662250603,0.06713594595422288,2.3884289458264494,0.0175929288945937,0.02818585884387695,0.2925130144011351
"Emb_Dist:C(Group, Sum)[S.B.1_2021-02-27_to_2021-04-28]",0.19695719810367207,0.06305095252198642,3.123778313023762,0.0019755143643395466,0.07283532346235631,0.3210790727449878
"Emb_Dist:C(Group, Sum)[S.BA.1_2021-10-25_to_2021-12-24]",1.5554486185701075,0.4460191474067713,3.4874032373133343,0.0005673451417137404,0.6774169554838912,2.433480281656324
"Emb_Dist:C(Group, Sum)[S.BA.1_2021-12-24_to_2022-02-22]",0.19031929294200484,0.8630143733822937,0.2205285320986168,0.8256225938376693,-1.508607647602746,1.8892462334867555
"Emb_Dist:C(Group, Sum)[S.BA.2_2021-12-24_to_2022-02-22]",-1.4219211652602235,0.7676845534632759,-1.8522206273989394,0.06506181466624505,-2.933182170806745,0.08933984028629816
"Emb_Dist:C(Group, Sum)[S.BA.2_2022-02-22_to_2022-04-23]",-1.014061127706113,0.393536997975824,-2.5767872726630126,0.010492127134670407,-1.7887766232799782,-0.2393456321322477
"Emb_Dist:C(Group, Sum)[S.BA.2_2022-04-23_to_2022-06-22]",-0.0980062301712023,0.3629657738892654,-0.2700150736556839,0.7873504384411774,-0.8125393257665707,0.616526865424166
"Emb_Dist:C(Group, Sum)[S.BA.4_2022-04-23_to_2022-06-22]",0.20407067852747177,0.30242893098696283,0.6747723435767092,0.500385252227854,-0.39128980943313585,0.7994311664880793
"Emb_Dist:C(Group, Sum)[S.BA.5.1_2022-08-21_to_2022-10-20]",-0.20140685358919727,0.17179039028019508,-1.1723988359342854,0.24204790810485327,-0.5395927878858375,0.13677908070744296
"Emb_Dist:C(Group, Sum)[S.BA.5.2.1_2022-04-23_to_2022-06-22]",0.083293372073,0.34888097963339215,0.2387443768374119,0.8114809759901287,-0.6035124490396142,0.7700991931856143
"Emb_Dist:C(Group, Sum)[S.BA.5.2.1_2022-06-22_to_2022-08-21]",0.08383126757806841,0.16723560538777787,0.5012764320354179,0.616576159899861,-0.24538813383014918,0.413050668986286
"Emb_Dist:C(Group, Sum)[S.BA.5.2.1_2022-08-21_to_2022-10-20]",-0.2047228210328278,0.1975242623058688,-1.0364439215867665,0.3009022927458798,-0.593568361724669,0.18412271965901345
"Emb_Dist:C(Group, Sum)[S.BA.5.2.1_2022-10-20_to_2022-12-19]",-0.27829959191832615,0.22760520787774813,-1.2227294555922776,0.2224749607573464,-0.726362372096963,0.16976318826031062
"Emb_Dist:C(Group, Sum)[S.BA.5.2_2022-08-21_to_2022-10-20]",-0.0344979468345019,0.1254859269592078,-0.27491486631577644,0.7835873246319323,-0.28152908391127746,0.21253319024227368
"Emb_Dist:C(Group, Sum)[S.BA.5.2_2022-10-20_to_2022-12-19]",0.18096708751625593,0.13858193490414045,1.3058490462081802,0.19269124608066843,-0.09184480292623251,0.45377897795874433
"Emb_Dist:C(Group, Sum)[S.BA.5_2022-04-23_to_2022-06-22]",0.1085238951284449,0.471560104571938,0.2301379910562159,0.8181550217004473,-0.8197876028638111,1.036835393120701
"Emb_Dist:C(Group, Sum)[S.BQ.1.1_2022-10-20_to_2022-12-19]",0.25707866079141495,0.20357857398643053,1.2627982196621068,0.20772753815516468,-0.14368537574221535,0.6578426973250453
"Emb_Dist:C(Group, Sum)[S.BQ.1.1_2022-12-19_to_2023-02-17]",0.083387980578667,0.13099269052420856,0.6365849899331306,0.5249228010501261,-0.1744837511212595,0.34125971227859353
"Emb_Dist:C(Group, Sum)[S.BQ.1_2022-10-20_to_2022-12-19]",-0.07635874320265972,0.3075040910890435,-0.2483178123979776,0.8040731764055246,-0.6817101727871133,0.528992686381794
"Emb_Dist:C(Group, Sum)[S.BQ.1_2022-12-19_to_2023-02-17]",-0.01968312913375343,0.14829461429092608,-0.1327298987078441,0.8945037123851833,-0.3116153647107188,0.272249106443212
"Emb_Dist:C(Group, Sum)[S.EG.5.1_2023-06-17_to_2023-08-16]",-0.14101463489407318,0.3390158652166901,-0.41595290770224075,0.6777677006047478,-0.8084000278295691,0.5263707580414227
"Emb_Dist:C(Group, Sum)[S.EG.5.1_2023-08-16_to_2023-10-15]",0.29716802488403765,0.5196134742392534,0.5719020764792718,0.5678537990978016,-0.7257411609680406,1.3200772107361158
"Emb_Dist:C(Group, Sum)[S.EG.5.1_2023-10-15_to_2023-12-14]",-0.48654309499692633,0.5345101268542387,-0.910259825871563,0.3634797525631598,-1.5387777767296205,0.5656915867357679
"Emb_Dist:C(Group, Sum)[S.JN.1_2023-12-14_to_2024-02-12]",0.1235142148766473,0.20349132087531108,0.6069753459034766,0.5443662603404087,-0.27707805550140185,0.5241064852546964
"Emb_Dist:C(Group, Sum)[S.KP.3.1.1_2024-08-10_to_2024-10-09]",0.08100975201209636,0.12064479565993298,0.6714732415017906,0.5024807086526273,-0.15649115168650457,0.3185106557106973
