,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Lev_Dist,0.005201500222487965,0.010531629510476183,0.4938932021216517,0.6217922658441506,-0.01553517820081817,0.025938178645794098
"Lev_Dist:C(Group, Sum)[S.B.1.1_2020-12-29_to_2021-02-27]",0.033951936302692116,0.01774072752973066,1.9137848910533137,0.056728936788782436,-0.000979387611956796,0.06888326021734104
"Lev_Dist:C(Group, Sum)[S.B.1.617.2_2021-04-28_to_2021-06-27]",0.028793319777511855,0.024241167776208574,1.1877860028579554,0.23598526015727056,-0.01893730920830781,0.07652394876333152
"Lev_Dist:C(Group, Sum)[S.B.1.617.2_2021-06-27_to_2021-08-26]",-0.010591704407251365,0.014141167378184303,-0.7489978814331323,0.4545253057643205,-0.03843552859038067,0.017252119775877945
"Lev_Dist:C(Group, Sum)[S.B.1.617.2_2021-08-26_to_2021-10-25]",-0.038037498245030665,0.017392862706251247,-2.186960185189034,0.029623111059379537,-0.07228387962803268,-0.003791116862028647
"Lev_Dist:C(Group, Sum)[S.B.1.617.2_2021-10-25_to_2021-12-24]",0.0007799919675963597,0.015446935233068103,0.05049493351448694,0.9597661696518005,-0.029634876712994702,0.031194860648187425
"Lev_Dist:C(Group, Sum)[S.B.1.617.2_2021-12-24_to_2022-02-22]",-0.02056775772248831,0.06513432154825687,-0.31577449850690503,0.7524231679695849,-0.14881661787493325,0.10768110242995663
"Lev_Dist:C(Group, Sum)[S.B.1_2020-05-03_to_2020-07-02]",-0.32765897588915505,0.09150980530499173,-3.5805887117463,0.00040794584031916565,-0.5078409129105199,-0.14747703886779018
"Lev_Dist:C(Group, Sum)[S.B.1_2020-07-02_to_2020-08-31]",0.01974355567751181,0.02862138084197214,0.689818418842974,0.49091430303124706,-0.0366116712093212,0.07609878256434481
"Lev_Dist:C(Group, Sum)[S.B.1_2020-08-31_to_2020-10-30]",0.007510174278394224,0.0323779097883605,0.23195364764077664,0.8167537118728543,-0.05624162240531671,0.07126197096210515
"Lev_Dist:C(Group, Sum)[S.B.1_2020-10-30_to_2020-12-29]",0.024479008607342607,0.02027384702462338,1.2074180385011237,0.22835182386193498,-0.015440003520336028,0.06439802073502124
"Lev_Dist:C(Group, Sum)[S.B.1_2020-12-29_to_2021-02-27]",0.043803767159864934,0.014665343892739009,2.9868898731759517,0.0030832758553276424,0.01492784440086397,0.07267968991886589
"Lev_Dist:C(Group, Sum)[S.B.1_2021-02-27_to_2021-04-28]",0.05271294037270775,0.013188191956498662,3.996980067213287,8.329842285482733e-05,0.026745515738684517,0.07868036500673099
"Lev_Dist:C(Group, Sum)[S.BA.1_2021-10-25_to_2021-12-24]",0.09572737477751195,0.06043390046920934,1.584001264758418,0.11439057494764988,-0.023266400938722967,0.21472115049374685
"Lev_Dist:C(Group, Sum)[S.BA.1_2021-12-24_to_2022-02-22]",0.01602746117751129,0.10360954848601094,0.15469096634153628,0.8771831486242415,-0.18797875518256363,0.22003367753758618
"Lev_Dist:C(Group, Sum)[S.BA.2_2021-12-24_to_2022-02-22]",-0.20572580827248754,0.1036095484860109,-1.9855873447828425,0.048113629111265384,-0.40973202463256236,-0.0017195919124127212
"Lev_Dist:C(Group, Sum)[S.BA.2_2022-04-23_to_2022-06-22]",0.09762807177751098,0.09467981825387535,1.0311391971172796,0.3034192699866149,-0.08879559061534806,0.28405173417037
"Lev_Dist:C(Group, Sum)[S.BA.4_2022-04-23_to_2022-06-22]",0.015838217777512913,0.06043390046920963,0.26207505480441895,0.7934679490624429,-0.10315555793872257,0.1348319934937484
"Lev_Dist:C(Group, Sum)[S.BA.5.1_2022-08-21_to_2022-10-20]",-0.15950056142248828,0.09279080705549032,-1.7189263299230118,0.08680001363375463,-0.3422047787171345,0.02320365587215792
"Lev_Dist:C(Group, Sum)[S.BA.5.2.1_2022-04-23_to_2022-06-22]",0.0035407600275115247,0.07364052470488332,0.048081678419609725,0.9616875016046009,-0.14145673330527958,0.14853825336030263
"Lev_Dist:C(Group, Sum)[S.BA.5.2.1_2022-06-22_to_2022-08-21]",0.016919388641148274,0.0451946437456551,0.37436712050141696,0.7084317201705049,-0.07206843540614477,0.10590721268844133
"Lev_Dist:C(Group, Sum)[S.BA.5.2.1_2022-08-21_to_2022-10-20]",0.03665326252457105,0.028983009843190466,1.2646465195602419,0.20711333302257853,-0.020414008429074808,0.0937205334782169
"Lev_Dist:C(Group, Sum)[S.BA.5.2.1_2022-10-20_to_2022-12-19]",-0.06211723275582142,0.06951764783981905,-0.893546238775951,0.37237854644732715,-0.19899682072129196,0.0747623552096491
"Lev_Dist:C(Group, Sum)[S.BA.5.2_2022-08-21_to_2022-10-20]",0.015720526604784367,0.03378052015328256,0.4653725441008863,0.6420483457548711,-0.05079299655835242,0.08223404976792115
"Lev_Dist:C(Group, Sum)[S.BA.5.2_2022-10-20_to_2022-12-19]",0.042173903629364025,0.03207866412452183,1.3147026155969228,0.18975080702691052,-0.020988681186001314,0.10533648844472937
"Lev_Dist:C(Group, Sum)[S.BQ.1.1_2022-10-20_to_2022-12-19]",0.07814532744417808,0.07754450590751036,1.0077480864651371,0.3144981636011742,-0.07453906777677567,0.23082972266513185
"Lev_Dist:C(Group, Sum)[S.BQ.1.1_2022-12-19_to_2023-02-17]",0.016324865274570572,0.035449163952848535,0.46051481767763325,0.6455258356178222,-0.05347420167267136,0.0861239322218125
"Lev_Dist:C(Group, Sum)[S.BQ.1_2022-12-19_to_2023-02-17]",-0.015846697393219658,0.04287655170811093,-0.3695888956065921,0.7119851109226636,-0.10027022024758113,0.06857682546114181
"Lev_Dist:C(Group, Sum)[S.EG.5.1_2023-06-17_to_2023-08-16]",-0.028727086555821242,0.09774707925158814,-0.29389201985137064,0.7690713388372012,-0.22119015670477818,0.1637359835931357
"Lev_Dist:C(Group, Sum)[S.EG.5.1_2023-08-16_to_2023-10-15]",0.020932502508762035,0.04821051141873694,0.4341895966825743,0.6645054040771802,-0.07399353632682497,0.11585854134434904
"Lev_Dist:C(Group, Sum)[S.JN.1_2023-12-14_to_2024-02-12]",0.12166465127751155,0.08481507785587836,1.4344696055605781,0.1526217769401762,-0.045335431017018396,0.2886647335720415
"Lev_Dist:C(Group, Sum)[S.KP.3.1.1_2024-08-10_to_2024-10-09]",0.009383335445159138,0.022968316993880716,0.4085338707080311,0.6832129453958138,-0.03584106244624815,0.054607733336566426
"Lev_Dist:C(Group, Sum)[S.XBB.1.16_2023-08-16_to_2023-10-15]",0.06449862827751164,0.08481507785587829,0.7604618177337608,0.4476572156281797,-0.10250145401701817,0.23149871057204147
"Lev_Dist:C(Group, Sum)[S.XBB.1.5_2023-02-17_to_2023-04-18]",-0.007782082172490068,0.08988288328788056,-0.08658024629189184,0.9310707981770147,-0.18476062520291825,0.1691964608579381
