Parent Lineage,Child Lineage,Embedding Distance,Fitness Difference
B.1.617.2,AY.1,3.628049612045288,-0.05238008499145508
B.1.617.2,AY.3,0.5474585890769958,-0.0052503254264593124
B.1.617.2,AY.4,1.9023135900497437,0.0005656073335558176
B.1.617.2,AY.5,1.504205584526062,-0.1010475903749466
B.1.617.2,AY.13,1.504205584526062,-0.036595553159713745
B.1.617.2,AY.14,1.504205584526062,-0.13221381604671478
B.1.617.2,AY.20,4.480663299560547,-0.011297864839434624
B.1.617.2,AY.25,1.1934587955474854,-0.024846620857715607
B.1.617.2,AY.26,1.0688105821609497,-0.0429176390171051
B.1.617.2,AY.33,1.395267367362976,0.003666347125545144
B.1.617.2,AY.36,3.4920542240142822,0.022173462435603142
B.1.617.2,AY.39,1.8529146909713745,0.018237989395856857
B.1.617.2,AY.43,0.8029451966285706,0.0554601214826107
B.1.617.2,AY.44,0.8029451966285706,-0.02221551723778248
B.1.617.2,AY.47,0.8353542685508728,-0.06370212137699127
B.1.617.2,AY.54,0.8029451966285706,-0.12478262186050415
B.1.617.2,AY.64,1.4876148700714111,-0.07854698598384857
B.1.617.2,AY.75,3.081592321395874,-0.07270310074090958
B.1.617.2,AY.98,0.9100887179374695,
B.1.617.2,AY.100,1.9359668493270874,0.006761884316802025
B.1.617.2,AY.103,0.7712054252624512,0.0088550029322505
B.1.617.2,AY.107,2.2829480171203613,0.0005485698347911239
B.1.617.2,AY.113,1.7914695739746094,0.012349565513432026
B.1.617.2,AY.114,1.9023135900497437,-0.05405694246292114
B.1.617.2,AY.117,2.1017050743103027,-0.009393204934895039
B.1.617.2,AY.118,1.992563247680664,-0.0108335604891181
B.1.617.2,AY.119,2.0581231117248535,-0.012800554744899273
B.1.617.2,AY.121,3.490926504135132,0.06390291452407837
B.1.617.2,AY.122,1.0700786113739014,-0.015331611037254333
B.1.617.2,AY.125,3.490926504135132,0.07220204919576645
B.1.617.2,AY.127,2.061121940612793,0.01595410145819187
