Parent Lineage,Child Lineage,Levenshtein Distance,Fitness Difference
B.1.617.2,AY.1,6,-0.052054405212402344
B.1.617.2,AY.3,1,-0.005186394322663546
B.1.617.2,AY.4,3,0.0005629861843772233
B.1.617.2,AY.5,3,-0.10183802247047424
B.1.617.2,AY.13,3,-0.0367206372320652
B.1.617.2,AY.14,3,-0.13180388510227203
B.1.617.2,AY.20,6,-0.011485359631478786
B.1.617.2,AY.25,3,-0.02486507222056389
B.1.617.2,AY.26,3,-0.04281710088253021
B.1.617.2,AY.33,7,0.003861947450786829
B.1.617.2,AY.36,5,0.02201266586780548
B.1.617.2,AY.39,4,0.018274392932653427
B.1.617.2,AY.43,2,0.05538320541381836
B.1.617.2,AY.44,2,-0.02222977764904499
B.1.617.2,AY.47,2,-0.06387682259082794
B.1.617.2,AY.54,2,-0.12491349130868912
B.1.617.2,AY.64,5,-0.07928084582090378
B.1.617.2,AY.75,3,-0.07279253005981445
B.1.617.2,AY.98,3,
B.1.617.2,AY.100,4,0.006870100740343332
B.1.617.2,AY.103,2,0.008759880438446999
B.1.617.2,AY.107,4,0.0004887578543275595
B.1.617.2,AY.113,2,0.012170459143817425
B.1.617.2,AY.114,3,-0.05397754907608032
B.1.617.2,AY.117,4,-0.009479369036853313
B.1.617.2,AY.118,4,-0.010946723632514477
B.1.617.2,AY.119,4,-0.012651687487959862
B.1.617.2,AY.121,4,0.06368549168109894
B.1.617.2,AY.122,3,-0.015518835745751858
B.1.617.2,AY.125,4,0.071947380900383
B.1.617.2,AY.127,5,0.01617429219186306
