Group,Parent Lineage,Start Date,End Date,Slope,CI,R,P-value,N,Significant,Direction,P-value (Bonferroni adjusted),Significant (Bonferroni)
KP.3.1.1_2024-08-10_to_2024-10-09,KP.3.1.1,2024-08-10,2024-10-09,0.06211049842002654,0.24937035964950596,0.6039596434521649,0.3960403565478351,4,False,Positive,1.0,False
JN.1_2023-12-14_to_2024-02-12,JN.1,2023-12-14,2024-02-12,0.1046149612845735,1.0909603071314613,0.28007092137132483,0.7199290786286752,4,False,Positive,1.0,False
EG.5.1_2023-10-15_to_2023-12-14,EG.5.1,2023-10-15,2023-12-14,-0.5054423485889906,0.027462440146685925,-0.9999908574499952,0.002722257004049282,3,True,Negative,0.106168023157922,False
XBB.1.16_2023-08-16_to_2023-10-15,XBB.1.16,2023-08-16,2023-10-15,0.413133639213549,1.1514255429015852,0.7373768624367157,0.2626231375632841,4,False,Positive,1.0,False
EG.5.1_2023-08-16_to_2023-10-15,EG.5.1,2023-08-16,2023-10-15,0.2782687712919691,0.3507515313119902,0.8246125486469019,0.08581492461815741,5,False,Positive,1.0,False
EG.5.1_2023-06-17_to_2023-08-16,EG.5.1,2023-06-17,2023-08-16,-0.15991388848613527,0.23933321199196456,-0.8973080793632311,0.10269192063676892,4,False,Negative,1.0,False
XBB.1.5_2023-04-18_to_2023-06-17,XBB.1.5,2023-04-18,2023-06-17,-0.015146032010290808,0.4189800761612113,-0.03608819912160104,0.9323933533918191,8,False,Negative,1.0,False
XBB.1.5_2023-02-17_to_2023-04-18,XBB.1.5,2023-02-17,2023-04-18,-0.04622937189691338,0.2217406629542686,-0.18317849476998044,0.6371094266872059,9,False,Negative,1.0,False
BQ.1.1_2022-12-19_to_2023-02-17,BQ.1.1,2022-12-19,2023-02-17,0.06448872698659779,0.06646861530799252,0.5904491501431105,0.055814103363415135,11,False,Positive,1.0,False
BQ.1_2022-12-19_to_2023-02-17,BQ.1,2022-12-19,2023-02-17,-0.03858238272582327,0.10513940316075034,-0.28663075089153484,0.4220185569813234,10,False,Negative,1.0,False
XBB.1.5_2022-12-19_to_2023-02-17,XBB.1.5,2022-12-19,2023-02-17,-0.206566781570431,1.7506450820189712,-0.2118794649133953,0.7322589864538298,5,False,Negative,1.0,False
BQ.1_2022-10-20_to_2022-12-19,BQ.1,2022-10-20,2022-12-19,-0.09525799679472162,0.3289500452258203,-0.3729931953776197,0.46645634537901615,6,False,Negative,1.0,False
BQ.1.1_2022-10-20_to_2022-12-19,BQ.1.1,2022-10-20,2022-12-19,0.2381794071993438,0.2751744482604167,0.8465543806887132,0.07047062436240972,5,False,Positive,1.0,False
BA.5.2_2022-10-20_to_2022-12-19,BA.5.2,2022-10-20,2022-12-19,0.16206783392418544,0.30406912806121167,0.5224562462596062,0.228969936119978,7,False,Positive,1.0,False
BA.5.2.1_2022-10-20_to_2022-12-19,BA.5.2.1,2022-10-20,2022-12-19,-0.2971988455103948,0.26007379853680995,-0.7522017870479951,0.031320256000316925,8,True,Negative,1.0,False
BA.5.2_2022-08-21_to_2022-10-20,BA.5.2,2022-08-21,2022-10-20,-0.053397200426571964,0.3562697365849777,-0.14807043959920865,0.7263992629072569,8,False,Negative,1.0,False
BA.5.1_2022-08-21_to_2022-10-20,BA.5.1,2022-08-21,2022-10-20,-0.22030610718126462,0.6058017934820789,-0.4506678514749316,0.36976388388932757,6,False,Negative,1.0,False
BA.5.2.1_2022-08-21_to_2022-10-20,BA.5.2.1,2022-08-21,2022-10-20,-0.22362207462490155,0.43794099865536684,-0.30578182494613804,0.28769356272686886,14,False,Negative,1.0,False
BA.5.2.1_2022-06-22_to_2022-08-21,BA.5.2.1,2022-06-22,2022-08-21,0.0649320139859983,0.3570622124485336,0.12709284638855708,0.6938712842819802,12,False,Positive,1.0,False
BA.5_2022-04-23_to_2022-06-22,BA.5,2022-04-23,2022-06-22,0.08962464153639865,2.574474764501715,0.4045295015149898,0.7348705928066476,3,False,Positive,1.0,False
BA.5.2.1_2022-04-23_to_2022-06-22,BA.5.2.1,2022-04-23,2022-06-22,0.06439411848092805,0.9716644586639072,0.09161335143650652,0.862964428556778,6,False,Positive,1.0,False
BA.2_2022-04-23_to_2022-06-22,BA.2,2022-04-23,2022-06-22,-0.11690548376327475,1.361051115321094,-0.15589014850077665,0.8023213783349699,5,False,Negative,1.0,False
BA.4_2022-04-23_to_2022-06-22,BA.4,2022-04-23,2022-06-22,0.18517142493539704,1.2950256582038968,0.3989151039393641,0.6010848960606359,4,False,Positive,1.0,False
BA.2_2022-02-22_to_2022-04-23,BA.2,2022-02-22,2022-04-23,-1.0329603812981676,1.2524354876242452,-0.8346517909719806,0.07867870885571876,5,False,Negative,1.0,False
B.1.617.2_2021-12-24_to_2022-02-22,B.1.617.2,2021-12-24,2022-02-22,-0.0016279377505603342,0.023563407948544376,-0.07917364871794276,0.866011513295103,7,False,Negative,1.0,False
BA.2_2021-12-24_to_2022-02-22,BA.2,2021-12-24,2022-02-22,-1.4408204188522884,10.273175566704605,-0.8720781215692771,0.3255440438504918,3,False,Negative,1.0,False
BA.1_2021-12-24_to_2022-02-22,BA.1,2021-12-24,2022-02-22,0.17142003935000868,1.8234981124517964,0.7667621593107646,0.44373314134388847,3,False,Positive,1.0,False
BA.1_2021-10-25_to_2021-12-24,BA.1,2021-10-25,2021-12-24,1.5365493649780329,2.303392905834831,0.7748343970678987,0.12383567226583742,5,False,Positive,1.0,False
B.1.617.2_2021-10-25_to_2021-12-24,B.1.617.2,2021-10-25,2021-12-24,0.013802423996037263,0.018303521784422558,0.2802206136782672,0.13365345940741372,30,False,Positive,1.0,False
B.1.617.2_2021-08-26_to_2021-10-25,B.1.617.2,2021-08-26,2021-10-25,-0.020299856166330975,0.029138849002284722,-0.26038295409140544,0.16462502581440572,30,False,Negative,1.0,False
B.1.617.2_2021-06-27_to_2021-08-26,B.1.617.2,2021-06-27,2021-08-26,0.03812998117792552,0.03668314665862789,0.350535882874837,0.042102429589098773,34,True,Positive,1.0,False
B.1.617.2_2021-04-28_to_2021-06-27,B.1.617.2,2021-04-28,2021-06-27,0.01721271209932523,0.11983753124180417,0.08997475892335806,0.7596900516591276,14,False,Positive,1.0,False
B.1_2021-02-27_to_2021-04-28,B.1,2021-02-27,2021-04-28,0.1780579445116025,0.09824587050509996,0.7356132659371187,0.0017737941612758262,15,True,Positive,0.06917797228975722,False
B.1.1_2020-12-29_to_2021-02-27,B.1.1,2020-12-29,2021-02-27,0.5233627681360563,1.1098174429391696,0.8203898109847906,0.17961018901520936,4,False,Positive,1.0,False
B.1_2020-12-29_to_2021-02-27,B.1,2020-12-29,2021-02-27,0.14145018303043602,0.08415634461219546,0.6651545743580247,0.0025934990614235637,18,True,Positive,0.10114646339551898,False
B.1_2020-10-30_to_2020-12-29,B.1,2020-10-30,2020-12-29,0.048409271210019006,0.10774202247738934,0.34396621512916115,0.330454091954623,10,False,Positive,1.0,False
B.1_2020-08-31_to_2020-10-30,B.1,2020-08-31,2020-10-30,0.07655769784130667,0.19378723409013474,0.3329390425655879,0.3813117667326793,9,False,Positive,1.0,False
B.1_2020-07-02_to_2020-08-31,B.1,2020-07-02,2020-08-31,0.08004299853253885,0.38386548795320724,0.18320769575392745,0.6370548049945721,9,False,Positive,1.0,False
B.1_2020-05-03_to_2020-07-02,B.1,2020-05-03,2020-07-02,-0.8147752045657295,1.9053046105485607,-0.44117925159747406,0.3217397697691563,7,False,Negative,1.0,False
