Parent Lineage,Child Lineage,Embedding Distance,Fitness Difference
B.1,B.1.126,1.5011066198349,-0.027531778
B.1,B.1.234,0.5709319114685059,0.029239405
B.1,B.1.240,0.4081929922103882,-0.057478845
B.1,B.1.241,1.0252535343170166,-0.030421633
B.1,B.1.243,0.7633941769599915,0.017041912
B.1,B.1.311,0.6119810342788696,0.0074504134
B.1,B.1.349,0.43735259771347046,-0.018395564
B.1,B.1.396,0.5953314304351807,-0.009442002
B.1,B.1.427,1.9397419691085815,0.12561752
B.1,B.1.429,1.6684099435806274,0.12040358
B.1,B.1.517,0.7613430619239807,0.091142535
B.1,B.1.526,1.8630505800247192,0.2996992
B.1,B.1.561,0.9505106210708618,-0.021010473
B.1,B.1.565,0.4375664293766022,0.0044882745
B.1,B.1.575,0.968142569065094,0.20393415
B.1,B.1.588,0.6642687916755676,0.0910977
B.1,B.1.623,1.2273086309432983,0.2724974
B.1,B.1.637,2.017580032348633,0.2771126
