Parent Lineage,Child Lineage,Levenshtein Distance,Fitness Difference
B.1.617.2,AY.1,2,-0.04278561845421791
B.1.617.2,AY.2,5,-0.20134180784225464
B.1.617.2,AY.3,1,0.03418587148189545
B.1.617.2,AY.5,1,0.02350141480565071
B.1.617.2,AY.13,2,-0.07085900008678436
B.1.617.2,AY.14,1,-0.049235615879297256
B.1.617.2,AY.20,3,0.023039624094963074
B.1.617.2,AY.25,2,0.02999362163245678
B.1.617.2,AY.26,3,-0.02482040785253048
B.1.617.2,AY.33,4,-0.01646820269525051
B.1.617.2,AY.35,3,-0.014508682303130627
B.1.617.2,AY.36,2,0.036837320774793625
B.1.617.2,AY.37,3,-0.056756820529699326
B.1.617.2,AY.39,1,0.031174778938293457
B.1.617.2,AY.43,1,0.0893181636929512
B.1.617.2,AY.44,3,0.03337382152676582
B.1.617.2,AY.47,3,-0.017267515882849693
B.1.617.2,AY.54,3,-0.037365835160017014
B.1.617.2,AY.62,3,-0.15002118051052094
B.1.617.2,AY.64,3,-0.035175733268260956
B.1.617.2,AY.67,3,-0.12478944659233093
B.1.617.2,AY.75,3,-0.043548356741666794
B.1.617.2,AY.98,1,
B.1.617.2,AY.103,2,0.04950590804219246
B.1.617.2,AY.107,2,0.05816594883799553
B.1.617.2,AY.117,2,0.0818919986486435
B.1.617.2,AY.118,1,0.014507289044559002
B.1.617.2,AY.119,1,0.04580577835440636
B.1.617.2,AY.121,1,0.2049134224653244
B.1.617.2,AY.122,2,0.0259518101811409
B.1.617.2,AY.125,5,0.08637379854917526
