Parent Lineage,Child Lineage,Levenshtein Distance,Fitness Difference
B.1,B.1.126,1,-0.027436268
B.1,B.1.234,1,0.029237669
B.1,B.1.240,1,-0.05751003
B.1,B.1.241,2,-0.030298688
B.1,B.1.243,1,0.017110117
B.1,B.1.311,1,0.00735717
B.1,B.1.349,1,-0.018417785
B.1,B.1.396,1,-0.009109378
B.1,B.1.427,5,0.12558243
B.1,B.1.429,3,0.12042313
B.1,B.1.517,2,0.09111783
B.1,B.1.526,5,0.29967764
B.1,B.1.561,1,-0.02097304
B.1,B.1.565,1,0.004572294
B.1,B.1.575,3,0.2038545
B.1,B.1.588,1,0.091101184
B.1,B.1.623,4,0.272578
B.1,B.1.637,8,0.2769468
