Group,Parent Lineage,Start Date,End Date,Slope,CI,R,P-value,N,Significant,Direction,P-value (Bonferroni adjusted),Significant (Bonferroni)
XBB.1.5_2023-04-18_to_2023-06-17,XBB.1.5,2023-04-18,2023-06-17,-0.015146032010290808,0.4189800761612113,-0.03608819912160104,0.9323933533918191,8,False,Negative,1.0,False
XBB.1.5_2023-02-17_to_2023-04-18,XBB.1.5,2023-02-17,2023-04-18,-0.04622937189691338,0.2217406629542686,-0.18317849476998044,0.6371094266872059,9,False,Negative,1.0,False
BQ.1_2022-12-19_to_2023-02-17,BQ.1,2022-12-19,2023-02-17,-0.03858238272582327,0.10513940316075034,-0.28663075089153484,0.4220185569813234,10,False,Negative,1.0,False
BQ.1.1_2022-12-19_to_2023-02-17,BQ.1.1,2022-12-19,2023-02-17,0.06448872698659779,0.06646861530799252,0.5904491501431105,0.055814103363415135,11,False,Positive,0.9488397571780574,False
BA.5.2.1_2022-10-20_to_2022-12-19,BA.5.2.1,2022-10-20,2022-12-19,-0.2971988455103948,0.26007379853680995,-0.7522017870479951,0.031320256000316925,8,True,Negative,0.5324443520053878,False
BA.5.2_2022-08-21_to_2022-10-20,BA.5.2,2022-08-21,2022-10-20,-0.053397200426571964,0.3562697365849777,-0.14807043959920865,0.7263992629072569,8,False,Negative,1.0,False
BA.5.2.1_2022-08-21_to_2022-10-20,BA.5.2.1,2022-08-21,2022-10-20,-0.22362207462490155,0.43794099865536684,-0.30578182494613804,0.28769356272686886,14,False,Negative,1.0,False
BA.5.2.1_2022-06-22_to_2022-08-21,BA.5.2.1,2022-06-22,2022-08-21,0.0649320139859983,0.3570622124485336,0.12709284638855708,0.6938712842819802,12,False,Positive,1.0,False
B.1.617.2_2021-10-25_to_2021-12-24,B.1.617.2,2021-10-25,2021-12-24,0.013802423996037263,0.018303521784422558,0.2802206136782672,0.13365345940741372,30,False,Positive,1.0,False
B.1.617.2_2021-08-26_to_2021-10-25,B.1.617.2,2021-08-26,2021-10-25,-0.020299856166330975,0.029138849002284722,-0.26038295409140544,0.16462502581440572,30,False,Negative,1.0,False
B.1.617.2_2021-06-27_to_2021-08-26,B.1.617.2,2021-06-27,2021-08-26,0.03812998117792552,0.03668314665862789,0.350535882874837,0.042102429589098773,34,True,Positive,0.7157413030146792,False
B.1.617.2_2021-04-28_to_2021-06-27,B.1.617.2,2021-04-28,2021-06-27,0.01721271209932523,0.11983753124180417,0.08997475892335806,0.7596900516591276,14,False,Positive,1.0,False
B.1_2021-02-27_to_2021-04-28,B.1,2021-02-27,2021-04-28,0.1780579445116025,0.09824587050509996,0.7356132659371187,0.0017737941612758262,15,True,Positive,0.030154500741689044,True
B.1_2020-12-29_to_2021-02-27,B.1,2020-12-29,2021-02-27,0.14145018303043602,0.08415634461219546,0.6651545743580247,0.0025934990614235637,18,True,Positive,0.044089484044200586,True
B.1_2020-10-30_to_2020-12-29,B.1,2020-10-30,2020-12-29,0.048409271210019006,0.10774202247738934,0.34396621512916115,0.330454091954623,10,False,Positive,1.0,False
B.1_2020-08-31_to_2020-10-30,B.1,2020-08-31,2020-10-30,0.07655769784130667,0.19378723409013474,0.3329390425655879,0.3813117667326793,9,False,Positive,1.0,False
B.1_2020-07-02_to_2020-08-31,B.1,2020-07-02,2020-08-31,0.08004299853253885,0.38386548795320724,0.18320769575392745,0.6370548049945721,9,False,Positive,1.0,False
