Group,Parent Lineage,Start Date,End Date,Slope,CI,R,P-value,N,Significant,Direction,P-value (Bonferroni adjusted),Significant (Bonferroni)
KP.3.1.1_2024-08-10_to_2024-10-09,KP.3.1.1,2024-08-10,2024-10-09,0.014584835667647058,0.04234117986173515,0.7234798015699592,0.27652019843004066,4,False,Positive,1.0,False
JN.1_2023-12-14_to_2024-02-12,JN.1,2023-12-14,2024-02-12,0.12686615150000002,0.3229259368705681,0.766974554688193,0.23302544531180688,4,False,Positive,1.0,False
XBB.1.16_2023-08-16_to_2023-10-15,XBB.1.16,2023-08-16,2023-10-15,0.06970012850000001,0.33550710661011135,0.5342791135043007,0.4657208864956993,4,False,Positive,1.0,False
EG.5.1_2023-08-16_to_2023-10-15,EG.5.1,2023-08-16,2023-10-15,0.026134002731249998,0.03289512933157768,0.8249825882581286,0.08554852369724658,5,False,Positive,1.0,False
EG.5.1_2023-06-17_to_2023-08-16,EG.5.1,2023-06-17,2023-08-16,-0.02352558633333333,0.14569376673115714,-0.4409346371497988,0.5590653628502011,4,False,Negative,1.0,False
XBB.1.5_2023-04-18_to_2023-06-17,XBB.1.5,2023-04-18,2023-06-17,0.01880393375,0.09060644048187767,0.20299922861665362,0.629703839265136,8,False,Positive,1.0,False
XBB.1.5_2023-02-17_to_2023-04-18,XBB.1.5,2023-02-17,2023-04-18,-0.002580581950000005,0.12009064342939844,-0.019201781529369157,0.9608944690307281,9,False,Negative,1.0,False
BQ.1_2022-12-19_to_2023-02-17,BQ.1,2022-12-19,2023-02-17,-0.010645197170731709,0.03297867942259283,-0.2545037854888127,0.47795357645452585,10,False,Negative,1.0,False
BQ.1.1_2022-12-19_to_2023-02-17,BQ.1.1,2022-12-19,2023-02-17,0.021526365497058816,0.018182162467496894,0.6659685957185393,0.02527924650255962,11,True,Positive,0.8594943810870271,False
BQ.1.1_2022-10-20_to_2022-12-19,BQ.1.1,2022-10-20,2022-12-19,0.08334682766666669,0.1419130050419344,0.7334826367302127,0.1583977241388445,5,False,Positive,1.0,False
BA.5.2_2022-10-20_to_2022-12-19,BA.5.2,2022-10-20,2022-12-19,0.04737540385185185,0.06869648220789902,0.6212498001910259,0.1364616348363251,7,False,Positive,1.0,False
BA.5.2.1_2022-10-20_to_2022-12-19,BA.5.2.1,2022-10-20,2022-12-19,-0.056915732533333326,0.1133027729370453,-0.44850334197913594,0.2650242404224192,8,False,Negative,1.0,False
BA.5.2.1_2022-08-21_to_2022-10-20,BA.5.2.1,2022-08-21,2022-10-20,0.04185476274705882,0.06222884416908993,0.38961192206916,0.16850220817111664,14,False,Positive,1.0,False
BA.5.2_2022-08-21_to_2022-10-20,BA.5.2,2022-08-21,2022-10-20,0.020922026827272733,0.10359121501228327,0.19776968424770178,0.6387375549090225,8,False,Positive,1.0,False
BA.5.1_2022-08-21_to_2022-10-20,BA.5.1,2022-08-21,2022-10-20,-0.1542990612,0.3338160827866239,-0.5400534127186299,0.26867524595612413,6,False,Negative,1.0,False
BA.5.2.1_2022-06-22_to_2022-08-21,BA.5.2.1,2022-06-22,2022-08-21,0.022120888863636366,0.10266430532021234,0.1500987759020597,0.6414898151276335,12,False,Positive,1.0,False
BA.2_2022-04-23_to_2022-06-22,BA.2,2022-04-23,2022-06-22,0.102829572,0.3209308994818283,0.5073288188434507,0.3829409106764153,5,False,Positive,1.0,False
BA.5.2.1_2022-04-23_to_2022-06-22,BA.5.2.1,2022-04-23,2022-06-22,0.008742260249999998,0.21215129613944259,0.05711204243988879,0.9144250799530258,6,False,Positive,1.0,False
BA.4_2022-04-23_to_2022-06-22,BA.4,2022-04-23,2022-06-22,0.021039718000000002,0.28452478132427445,0.21949227671101731,0.7805077232889827,4,False,Positive,1.0,False
